review,sentiment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
i ve only seen this film once when it was shown on tv but i can still remember it 15 years later so that must say something about it i thought it was an intelligent look into schooling friendship bullying and the influence it can have leading into adult life the title really refers to how being good or bad at sports can either make you the lowest of the low or you will be tolerated by the cliques within school and even later on into adulthood if you re good at it this is set in a private school in england but it could be anywhere the main character is bad at games seeks revenge in later life which all culminates in a climactic confrontation on a cricket pitch i must admit i was gutted by the ending it was powerful and saddening ,1,-0.118466936,0.19570234,-0.59752584,-0.39677036,0.81992733,0.36537957,1.3920617,0.67634726,-0.42050448,-0.1847276,-0.053374305,0.3297053,0.0702476,-0.23182705,-0.5666491,-0.110646166,-0.28851625,-0.33976448,-0.66479063,0.6645625,0.02721038,0.45373365,-0.13377112,0.101104245,-0.010643033,1.2057036,-0.10318068,0.88401294,0.20237371,-0.8366903,-1.0280421,-0.0048719677,-0.6084125,-0.82807857,-0.10436219,-0.49957716,0.42810094,0.5670799,-0.4536534,0.18090047,0.502627,-0.49920082,0.6243301,-0.83517975,1.1191765,0.3518144,0.34325993,0.15691131,-0.8086553,1.0400422,-0.40332386,-0.45269215,0.53624755,-0.24173348,-0.444312,-0.15521985,0.80585015,0.104182795,-0.60982937,-0.30897933,0.5576764,-1.4628097,0.16507554,-0.09565304,-0.45449644,-0.21835546,0.764148,-0.26671898,-0.33108696,0.25038552,0.65966356,-1.0502529,0.7920735,-0.19803134,0.08160477,0.95589775,0.78739387,-0.6734644,-0.9571943,-0.4887662,-0.28451502,0.113823004,-0.14470857,0.4126187,-0.025311854,-0.53857124,0.48848635,-0.3194169,-0.30986512,0.46024498,0.8958385,-0.72914416,-0.71260595,1.0971181,-0.01455145,0.6060064
disney the film name that once stood for all things innocent and suitable for all ages has finally started to realise that to survive it needs to become more diverse such diversity has been very apparent in the last couple of years films like tarzan and the emperor s new groove have made an attempt to move away from the traditional song driven routine of disney s past and into new uncharted territory atlantis is the boldest step yet but we have to remember this is still disney the first ever serious film to come out of disney s animation studio is a major achievement for them in fact it s so serious it makes it into pg territory perhaps why a lot of families were scared off from seeing it this past summer but despite the more mature subject matter this is still a film that disney wanted to draw in the families with not just mature audiences so the plot had to be kept simple enough for children to understand but interesting enough to take it away from the realms of the little mermaid et al so what we get is actually a potentially detailed plot unfortunately suffering the blow of being condensed into a 96 minute movie ultimately this is an action film about atlantis not about the exposition preceding it so we are whisked through the first half hour with as many sequences bombarding the screen as is possible without losing coherency suspend your disbelief of how the characters get from point a to point b so quickly you re unlikely to find an animated film that detailed coming out of hollywood if you want epic levels of detail in the plot turn to james cameron s titanic both films feature a boat in some manner and let s talk about love shall we yes as with a lot of films the lead male one milo thatch a bumbling archaeologist and lead female kida the clichéd atlantian princess are set to fall in love with each other but what i found was not as clichéd as i was expecting by film s end for once the characters touching feeling kissing sequence was far more subdued there s various points in the film where the attraction grows but it s just not in the ballpark of say the little mermaid a good thing you may have grasped that this is a rather clichéd film correct you have your leading hero and heroine backed up by more than half a dozen crew members who go on the expedition all being given their moments during the film numerous other characters appear take up the few minutes of screentime then disappear it doesn t take a genius to do the maths a 96 minute film with a focus on action and visuals and with a considerable cast has very little time to expand the characters to any major extent so what does it rely on clichés and lots of them every character emulates something that has been done a thousand times before you have the bumbling scientist the attractive princess the square jawed colonel the rich eccentric the maniacal sleazebag the russian femme fatale need i go on i don t know why this got to anyone i found the tongue in cheek nature of this film quite amusing alright this is meant to be a serious flick but do you really expect disney to give up every single trait of their history at least the writers have tried to come up with consistently witty dialogue and sometimes it even is a little inspired but in the end it s those big stunning visuals that put the icing on this cake the cgi animation is truly amazing in places and doesn t dwarf the characters which was a flaw that let the recent titan a e down speaking of characters disney hired an outside comics industry artist to create the designs bringing an anime style to the film infact the visual presentation of the film as a whole owes a lot to anime much more so than any previous disney outing this resulted in a conflict with fans of the japanese anime nadia for the film s overall similarities with said cartoon series having not seen this anime i can t comment with picture there is sound gary rydstrom heads up the sound team and what a soundtrack from the opening shot the sound stage is alive and is a treat james newton howard treats us to a dynamic musical score which compliments the film in every way never sounding out of place and always helping to build the tension or subdue it perhaps i missed the point of what the creators intended to me the film conveys that it s an adventure thrill ride albeit with a more serious tone than any disney film before it if you don t like the clichéd tongue in cheek attitude then perhaps the effort that has been poured into the visuals will delight heck at least the mythology is far more correct than can be said about other disney efforts cough hercules cough this is a positive 10 out of 10 review from someone who was blown away by this film i always suspend my disbelief with any animated film after all the laws of the real world are more than frequently broken in the cartoon medium so sit back enjoy the ride and perhaps everyone can find something to enjoy about this film ,1,-0.21280447,0.35545996,-0.39718023,-0.5565487,0.9346451,0.38009995,1.3290933,1.0961372,-0.19774483,-0.34258452,-0.19808152,0.38844758,0.14373514,-0.05443058,-0.6329055,-0.04624998,-0.26991886,-0.037792515,-0.67089885,0.50606024,0.43715212,0.6842482,0.013323021,0.009193125,0.013355123,0.9813837,-0.16712946,0.7480272,0.25103337,-0.84141546,-0.59296143,-0.2394381,-0.52061707,-0.45943826,-0.35692415,-0.39715967,0.2496404,0.41178876,-0.25793672,0.1581209,0.30375654,-0.5587613,0.3067894,-1.1835096,1.046455,0.23116463,0.03584823,0.26853055,-0.9566688,0.9101947,-0.45035985,-0.11777254,0.57502943,-0.07440132,-0.71155584,0.22918199,1.1089562,-0.15759796,-0.6639004,-0.012038149,0.6146712,-1.2925669,0.22924344,-0.7391829,0.077188,-0.37611014,0.9060047,-0.34946558,-0.54377407,0.1314423,0.6693887,-1.0626618,0.74361116,-0.31679168,-0.44480857,0.996873,0.80902773,-0.6637993,-0.7385697,-0.95709217,0.0029033937,0.07031123,0.117221385,0.5565574,-0.09244256,-0.23136155,0.20964362,-0.52122337,-0.7519673,0.3635963,0.5882369,-0.69949794,-0.59944665,1.0659722,-0.022431998,0.86475545
this movie is the only movie to feature a scene in which michael jackson wields a tommy gun plain and simple this movie rocks because it is freaking hilarious it may be creepy to see jacko w little kids but this movie also stars wait for it joe pesci think about it joe pesci and jacko with tommy guns throwing coins into jukeboxes from 20 feet away whats not to like as stated before this movie rocks ,1,0.023931116,0.11549086,-1.0350497,-0.56735057,0.44549873,0.4793928,1.0844305,0.8753081,-0.30439183,-0.39394492,-0.26825732,0.15947388,0.23693554,-0.36412683,-0.7909607,-0.19087501,-0.1926833,0.18618,0.025841912,-0.05404424,0.28438902,0.61842203,0.110848695,0.18446368,-0.19403216,1.2745554,-0.08537084,0.18886721,0.17611186,-0.59087646,-1.0236007,-0.43882254,-0.23804352,-0.5528583,-0.68415034,-0.25954458,0.72835577,0.111319296,0.31192964,-0.12630758,0.8161164,-0.10688555,0.82601625,-1.1370567,0.6252785,0.12884879,0.07694223,0.07280596,-1.0534325,1.0035406,0.33221337,-0.080897726,0.38965318,-0.99576247,-0.51944506,0.26666158,0.75852525,-0.29168212,-0.4571858,-0.41455957,0.19091389,-1.430656,0.12020572,-0.77643627,0.57377446,-0.3619083,0.57850605,-0.52009326,-0.81534225,0.40477103,0.5629552,-0.89844114,0.6671253,0.35120487,-0.3793754,0.4018477,0.7733915,-0.4134365,-0.6853006,-1.5509379,0.5847275,0.2729675,-0.056206513,0.81048137,0.34886888,-0.44907007,0.46285078,-0.32949087,-0.498033,0.68471485,0.6214209,-0.98172665,-0.53639007,1.0687014,0.61079466,0.90089154
the eternal jew der ewige jude does not have what we today would call the markings of a scholarly document rather than naming experts or sources to support what it says it simply says without opposition what it wants us to believe one will concede that american newsreels of that period were also much less regulated than would seem ethical to a modern audience often inserting dramatized scenes and passing them off as actual news footage add to this directed propaganda the fact that filmmaker hippler was preaching to the converted not so much asking gentile europeans to hate the jews as validating the feelings so many of them must have held already in order to have allowed the holocaust that followed the weakest link in the film s logic shows in its rat analogy wherein it goes on to explain the behavior of rats and then adds something to the effect of well jewish people are like that too similarly it characterizes jewish people as ugly by showing ugly jewish people in comparison to attractive gentiles the accompanying leap of faith is that ugly is bad the film appears to contradict itself a few times for example by attacking western painters who portrayed old testament characters as light skinned europeans thereby the text admits that so called hebrew ethnicity is in fact an ingrained aspect of christian culture it also shows ghetto jews willingly living in roach infested filth despite the supposed treasure they ve hoarded and then flip flops by saying that these same undesirables live in wealth and luxury as soon as they leave the ghetto incidentally who wouldn t the use of scenes from a well known american film house of rothschild shows an equally blurry deployment of logic first the film is denounced as having been made by jews then it is apparently used by hippler to verify the deceptiveness of jews the aforementioned pretense of poverty by ghetto jews shown as a means of avoiding taxation although the rothschild character s spin is that jews are taxed excessively finally the rothschild film is once again execrated for implying that the famed banking family invented the checking account this apparent indecisiveness in whether the american footage is shown positively or negatively might become clearer with repeated viewings but at first sight it makes for some murky moviewatching for all of eternal jew s imperfections i was at first surprised that the imdb viewer rating for this film is as high as it is just shy of a 5 to date i d say the reason is that ej s documentary value has exceeded its original purpose offering us unintentionally a look into the lives of european jews as they would not be seen a few years hence needless to say the film s very badness also provides an historical insight into bad or simply evil filmmaking as a propagandist s tool about this time i should expect director hippler to flip flop once again springing forward to say that s what i meant to do all along the scenes depicting animal slaughter are particularly gruesome and show same as decidedly inhumane contrary to the intent of kosher law to prevent animal suffering i would like for someone who has seen the film and has some knowledge of these procedures to comment on whether the portrayal is accurate ,0,-0.0092944475,0.31187668,-0.2945565,-0.6065182,0.7045288,0.4068153,1.1014708,0.8875698,-0.28489256,-0.36367992,-0.35650784,0.45590863,-0.07258079,-0.31247604,-0.46504351,0.19272055,-0.27411988,-0.21919449,-0.61345416,0.20222977,0.38922077,0.5650557,0.2876188,-0.17683333,-0.028264249,1.2145396,-0.07570534,0.5207294,0.088602744,-0.97070736,-0.75435936,-0.3241121,-0.3472327,-0.42244917,-0.2726798,-0.59838015,0.40063307,0.49689224,-0.16341849,0.2490915,0.22474255,-0.40549454,0.301005,-1.1124452,1.0825418,0.26589018,0.3041921,0.4834941,-0.74328923,0.9971151,-0.24945606,-0.1679915,0.34020486,-0.35223207,-0.65722203,0.36907592,0.7549557,-0.19862084,-0.7982268,-0.08475475,0.32891726,-1.0495596,0.41314045,-0.78461176,0.57530946,-0.31410575,0.71327597,-0.62926483,-0.54087263,0.057021797,0.72206986,-1.1014948,0.55744785,-0.18681224,-0.2623518,0.95500046,0.9344172,-0.62812847,-0.5735623,-0.85862494,0.11457484,0.053587142,0.3582988,0.56915945,0.009287181,-0.30325076,0.15115625,-0.60950285,-0.6631703,0.7885716,0.5509771,-0.82251793,-0.8166259,1.060921,0.085411154,0.7538911
this movie is just plain terrible poor john savage had to stoop this low in order to be in another movie he stars as a rare type of vampire that is to help a lady that looks like a washed out and thrown in the streets hooker that is a dancer at a local strip club she acidently tastes a drop of blood from another dancer who happens to be one of those rare vampires as they get carried away making out on the floor of the dressing room savage is then assigned by a short leader of this rare vampire breed that looks like a cross between 80 s punk rock and one of the olsen twins with purple hair this movie just gets all to crazy with savage rapping and dancing with a midget with a tattooed spider on his head also one of the rare he quotes the elephant man and jimmy durante and i just had to laugh this just gets rediculas and then the most gross special effects that they could come up with is corri throwing up her organs and pulling them out of her mouth and you can tell that that is all to fake her son doesn t know what to do with his moms new identity and becomes more of a pest than an object of serenity i enjoy a good vampire film believe me i do but i just hated this one even the photography stinks in and out blurs with the camera switching this way and that trying to make it look like the vampires move to fast for the camera to keep up and then the camera turns all to bright in the scene of savage chasing the son of corri around till he blinds himself avoid this one ,0,-0.25557354,0.10822813,-0.44375688,-0.5170095,0.88141537,0.50180036,1.3849319,1.1194783,-0.30852586,-0.5398853,-0.36861354,0.023149785,0.0023877851,-0.34163693,-0.5279214,-0.05682605,-0.678097,-0.15557238,-0.6966732,0.07317685,0.3982163,0.89364403,0.33275038,0.05081427,-0.031897526,0.7682143,-0.067030914,0.9307718,0.11390876,-0.776019,-0.46989703,-0.18302494,-0.27340454,-0.35713914,-0.62971985,-0.6989738,0.3355905,0.46302536,-0.29497758,0.2741588,0.80265963,-0.44844633,0.72609603,-1.3801496,1.0459381,0.14382555,0.41847318,0.20569046,-1.2064523,1.1221836,-0.41260543,-0.08196346,0.43504426,-0.12996382,-0.70738816,0.44722247,1.102177,-0.2443305,-0.47997063,-0.16371961,0.5347456,-1.1053504,0.43573296,-0.5773251,0.18640903,-0.5121523,0.9880658,-0.3707048,-0.099175535,0.29136124,0.5493083,-0.9306548,0.71833783,-0.17914152,-0.3011381,0.68242097,0.94064766,-0.65628153,-0.6903747,-1.0111912,-0.12592956,-0.09934822,0.012510652,0.36483753,0.055907343,-0.38573465,0.33717284,-0.28885683,-0.9081774,0.4092614,0.31879285,-0.87271947,-0.7682939,1.2296877,0.1483499,0.9296852
great movie great actors great soundtrack i loved it settings are perfect dialogues situations storyline all together mixed to give this masterpiece clooney and turturro are magnificent and the soggy bottom boys are simply charming and contagious with their music :),1,0.13832997,0.7918855,-1.0002465,-0.7260147,0.48909304,0.693373,1.0230119,0.67687005,0.06585194,0.08191131,-0.42424121,0.24087492,0.09720014,0.5393553,-0.74618876,0.18016502,-0.28040773,0.07448764,-0.6428876,0.49495682,0.39438877,0.49109524,-0.6223989,0.23276052,0.25207388,1.4276778,-0.13695624,0.10265454,0.43733653,-0.6322804,-1.2690227,0.11612063,-0.80127555,-0.74333686,-0.21431263,-0.46394035,0.5236956,0.4736086,-0.34320506,0.53755414,-0.48606268,-0.6575392,-0.27713516,-1.1251755,0.8198347,0.6952021,-0.15009396,0.72890085,-0.14873217,0.86422545,0.6486857,-0.29272336,0.6840331,0.29232454,-0.8759148,-0.4737807,0.5653494,-0.4605899,-0.40143576,0.29751113,0.7016731,-2.1663306,-0.032822527,-0.9020007,0.6243105,0.020530095,1.0164119,-0.33780923,-0.83000565,-0.4209604,0.79269123,-0.85181993,0.71329594,0.3517011,-0.4655751,0.37873042,0.29666975,-0.6665928,-0.4989993,-1.1912075,0.87566495,0.27471498,0.07197138,0.9471741,0.20960052,-1.0772405,-0.13285169,-1.3468045,-0.162478,0.6771721,0.6843318,-0.68399894,0.09410596,0.41711608,0.05329349,1.0575567
i absolutely loved this movie it met all expectations and went beyond that i loved the humor and the way the movie wasn t just randomly silly it also had a message jim carrey makes me happy :),1,0.08822322,-0.25188497,-0.6415564,-0.52649856,0.30938178,0.25004274,1.6019055,0.5452931,-0.5158565,-0.611985,-0.70409065,-0.38033855,-0.2616743,-0.0674666,-0.39722523,0.31258702,-0.49041522,-0.6659481,-1.0170159,0.4857799,0.07230582,1.2227978,-0.3651317,0.058387324,0.034963764,1.1866192,-0.28239533,0.7682225,-0.17790051,-1.4283575,-1.3475472,-0.4124821,0.021142112,-0.3597691,-0.6359364,-0.56308573,0.56022054,0.088957675,0.058133602,0.14422292,1.5979776,-0.437796,1.5503162,-0.9001849,1.439941,0.8500362,0.2844943,-0.14675806,0.46964043,1.3552473,0.540667,-0.39120978,0.13731407,0.06836528,-0.20833342,-0.24513395,0.5876034,0.08167546,-0.6484475,0.2537321,0.02371151,-1.880825,-0.0011528762,-0.31647578,0.08627357,0.049540054,1.021378,0.36396298,0.07488398,0.5522647,0.87340367,-0.12904654,-0.07220262,0.1971946,0.04309263,1.1284356,0.7048963,-1.1926018,-1.1395632,-1.2497598,0.43393746,-0.54194784,0.08828865,-0.21349671,0.038500153,-0.67300653,0.30455166,-0.31803325,-0.18644756,-0.06683002,0.6347979,-0.9208681,-1.0705323,0.7221338,0.56196845,0.6093961
i am a current a s l student was forced to watch this movie in class and what i got out of it was the blatant bias involved in the film the film is obviously leaning towards to p o v of the common deaf perception their is no middle ground also the film didn t make mention or take into account other situations that are also under debate in this topic i e deaf people who were born hearing and later went deaf is it right or wrong in that instance the film is biased and virtually all in the opinion of the deaf w a capital d not that this is bad but for it to be a true documentary film is should attempt to be slightly unbiased ,0,-0.3439026,0.3468469,-0.5089453,-0.31577924,0.8548385,0.21595497,1.2002007,0.62779117,-0.3198614,-0.30750385,-0.36965936,0.36461255,0.43475053,-0.44106182,-0.60534614,-0.23024666,-0.241857,-0.37587303,-0.58514315,0.5710043,0.61390716,0.7029514,0.29537117,-0.067006364,0.022368671,1.2470539,-0.35828254,0.92201066,0.5232748,-1.1812125,-0.6244697,-0.39649966,-0.770937,-0.53318113,-0.342982,-0.0675194,0.23751156,0.70362926,-0.3320659,0.5971376,0.42189375,-0.44794288,0.80027974,-1.301125,1.3290333,0.31821725,0.32898706,0.46185076,-0.9253286,1.1273308,-0.36720014,-0.3515629,0.59659934,-0.21901017,-0.5660164,0.31112984,0.8006864,0.09945795,-0.56087816,-0.29340434,0.5743765,-1.4429488,0.18228821,-0.40402234,-0.123511106,-0.24331155,0.67815655,-0.044655528,-0.9312307,0.082486525,0.7397885,-1.0912666,0.842432,-0.15563844,-0.4175582,0.9696288,0.46313137,-0.8136374,-0.93063045,-0.7893377,-0.323042,0.35690847,0.07103619,0.44645512,-0.22574005,-0.19847399,0.35358924,-0.57774866,-0.39164713,0.011387344,0.2446182,-0.8661686,-0.8068686,1.1790702,0.023103956,0.6366332
i actually trawled through the entire set of reviews searching for the ones which gave this film less than 5 stars they were few and far between which is utterly baffling yes i know it s a disney film and it isn t directed by christopher nolan but good lord this is straight to the bargain bucket nonsense they should ve had done with it and animated the bloody thing and what s even worse is the fact that imdb won t let me simply finish my rant there because my review needs to be longer the awesome in game camera shots are literally taken from tiger woods pga tour golf on the playstation the story plods like a sulking school boy the multi stranded character and plot development cripples an already weak setup and the grand finale is plain boring aside from that it really was the greatest film i ve ever seen in my entire life good authentic looking costumes sets and sports equipment there i said it ,0,0.07764868,0.3926502,-0.5753084,-0.4617723,0.72365105,0.28977647,0.9438902,0.9534852,-0.15912014,-0.29980114,-0.25773966,0.058160108,0.07301094,-0.11960409,-0.35145092,-0.102985255,-0.12825732,-0.31519407,-0.43800595,0.36091048,0.44176134,0.53445405,-0.052974302,-0.08015831,0.1478715,1.4257011,-0.45712093,0.5053798,0.39944464,-0.9133531,-0.86536616,-0.15585074,-0.4996266,-0.524344,-0.26527908,-0.25136462,0.58210784,0.54238397,-0.3334365,0.37470478,0.46119502,-0.61808527,0.39797875,-1.1571864,0.9926021,0.32880452,0.050855037,0.15579326,-0.48838425,0.97845143,-0.25351346,-0.18060897,0.45427355,-0.1327914,-0.6902611,-0.07203798,1.1461766,-0.005383012,-0.59835577,-0.18107939,0.454701,-1.3670685,0.1311489,-0.5698919,-0.04150183,-0.21395159,0.8128424,-0.24208072,-0.58129036,0.33672968,0.5880024,-0.7769551,0.41292092,0.047204748,-0.30509904,1.0580274,0.6221343,-0.8058122,-0.7884595,-1.0151184,0.090656385,-0.0791202,0.0016259418,0.52561057,0.06829711,-0.33108988,0.18670055,-0.55230284,-0.5944239,0.3922647,0.5538762,-0.8798785,-0.584516,0.94402736,0.26909307,0.62270266
this movie basically uses spousal rape as one of its main comedic devices now i turned it off at the point when he literally ties her to the bed and rapes her but i cannot really imagine how that was eventually turned around into something endearing and funny this movie not only squandered a wonderful cast and was consistently unfunny it actually managed to be rather brutally disturbing and misogynistic how so many people seem to find it a sweet family flick is beyond me i sure enjoyed canning those apricots last night is not a funny joke when you know it refers to forcing an unwilling virgin to have sex with you in the hopes she will eventually learn to like it watching a peeping tom jerk off is not family fun i honestly feel worse off for having watched half of this creepy comedy and am totally baffled by these positive reviews ,0,-0.08726693,-0.13171276,-0.4709258,-0.72282684,0.7329863,0.23014794,1.4937738,0.69274354,-0.54409945,0.10312234,-0.18402734,0.25589278,-0.23709118,-0.05911798,-0.36713657,-0.13414219,-0.25707945,-0.40811118,-0.69204414,0.7084542,0.36393824,0.368454,-0.31016478,0.17240894,0.2772164,1.3325713,-0.32468867,1.005845,-0.060174517,-0.9024634,-0.9598701,-0.07344732,-0.3280833,-0.61964923,-0.17975804,-0.45944092,0.5559314,0.3490181,-0.38555068,0.09570361,0.47409913,-0.7919297,0.5289235,-1.0240132,1.076483,0.5969398,0.24882482,0.48205853,-0.8659275,1.3185066,-0.5003118,-0.21760702,0.5879919,0.17243734,-0.08782094,-0.43094808,0.91340166,0.08256436,-0.458657,-0.3507092,0.38626263,-1.5510603,0.37625897,-0.35503703,0.1041812,-0.3966323,1.1478516,0.013713212,-0.13894211,0.24248388,0.5537262,-1.0063825,0.6154386,-0.56043226,0.33415148,1.1410689,0.58970416,-0.8388989,-0.8881824,-0.7658398,-0.4009388,-0.041237555,-0.09831048,0.60044026,0.032059494,-0.4559335,0.31542763,-0.06468213,-0.58119583,0.74418527,0.6119895,-0.69578874,-0.65268236,0.74904597,0.11005598,0.35356784
